Date,MaxT,WS_Name
26706,,SKAGEN
26708,,SKAGEN
26709,,THYBOROEN
26711,,COPENHAGEN KASTRUP
26711,1,AALBORG
26713,,COPENHAGEN KASTRUP
26890,,SKAGEN
26890,,THYBOROEN
26892,28,AALBORG
26893,,COPENHAGEN KASTRUP
26896,16,AALBORG
26897,,THYBOROEN
26897,17,AALBORG
26898,16,AALBORG
26900,,COPENHAGEN KASTRUP
26901,,SKAGEN
26904,,THYBOROEN
26909,,THYBOROEN
26911,,COPENHAGEN KASTRUP
26911,19,AALBORG
26915,,SKAGEN
26915,,THYBOROEN
26919,,SKAGEN
26922,,THYBOROEN
26925,,COPENHAGEN KASTRUP
26926,,SKAGEN
26928,,SKAGEN
26928,,THYBOROEN
26930,,THYBOROEN
26930,16,AALBORG
26935,,SKAGEN
26936,,SKAGEN
26939,15,AALBORG
26940,,SKAGEN
26940,,THYBOROEN
26713,2,AALBORG
26715,,COPENHAGEN KASTRUP
26720,,SKAGEN
26722,,SKAGEN
26724,,THYBOROEN
26727,,THYBOROEN
26730,,COPENHAGEN KASTRUP
26730,,THYBOROEN
26737,,SKAGEN
26738,8,AALBORG
26739,,SKAGEN
26741,,THYBOROEN
26743,,THYBOROEN
26745,,COPENHAGEN KASTRUP
26746,12,AALBORG
26747,,COPENHAGEN KASTRUP
26755,6,AALBORG
26756,,THYBOROEN
26758,,THYBOROEN
26761,,THYBOROEN
26761,10,AALBORG
26762,9,AALBORG
26769,,SKAGEN
26771,,SKAGEN
26773,,SKAGEN
26773,10,AALBORG
26777,,THYBOROEN
26777,14,AALBORG
26778,11,AALBORG
26941,,THYBOROEN
26943,,COPENHAGEN KASTRUP
26944,,SKAGEN
26944,,THYBOROEN
26945,,THYBOROEN
26948,,THYBOROEN
26948,6,AALBORG
26950,,COPENHAGEN KASTRUP
26958,,SKAGEN
26960,5,AALBORG
26961,,COPENHAGEN KASTRUP
26961,8,AALBORG
26965,,THYBOROEN
26968,,COPENHAGEN KASTRUP
26969,,SKAGEN
26974,,COPENHAGEN KASTRUP
26975,8,AALBORG
26976,,SKAGEN
26977,,THYBOROEN
26981,8,AALBORG
26985,,COPENHAGEN KASTRUP
26985,5,AALBORG
26986,,SKAGEN
26987,,COPENHAGEN KASTRUP
26994,,SKAGEN
26997,-2,AALBORG
27000,-1,AALBORG
27002,7,AALBORG
26728,7,AALBORG
26732,,THYBOROEN
26732,8,AALBORG
26734,,COPENHAGEN KASTRUP
26734,8,AALBORG
26735,,SKAGEN
26738,,THYBOROEN
26741,,COPENHAGEN KASTRUP
26742,,SKAGEN
26745,,THYBOROEN
26745,9,AALBORG
26749,,SKAGEN
26750,9,AALBORG
26751,,COPENHAGEN KASTRUP
26752,,COPENHAGEN KASTRUP
26754,,SKAGEN
26756,,SKAGEN
26760,,SKAGEN
26760,,COPENHAGEN KASTRUP
26763,,THYBOROEN
26764,6,AALBORG
26765,,COPENHAGEN KASTRUP
