id,tipo,clasificacion,descripcionresumida,responsable,calle,altura,letra,bis,coordenadax,coordenaday,GEOJSON
75043,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,BIEDMA CRNEL. MANUEL,1921,,0,5438462.12,6351302.21,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.658330, -32.979469 ] } }"
75051,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Plástico Gris / Negro Superior,Lime,SANTIAGO,2750,,0,5438112.14,6352770.09,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661975, -32.966215 ] } }"
119619,Contenedor en vía pública,Metálico Verde Lateral,Contenedor en vía pública - Metálico Verde Lateral,Lime,ROCA PTE. JULIO ARGENTINO,2687,,0,5439180.92021599,6352645.5769293,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.650552, -32.967397 ] } }"
75031,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,ARRIETA RAFAEL,1870,,0,5438312.75,6347948.1,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.660153, -33.009702 ] } }"
75044,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,BIEDMA CRNEL. MANUEL,851,,0,5439850.47,6351016.91,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.643497, -32.982119 ] } }"
75040,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,BEETHOVEN LUIS VAN,651,,0,5440034.62,6350647.07,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.641551, -32.985463 ] } }"
75022,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,AMEGHINO FLORENTINO,550,,0,5440117.4,6350328.33,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.640687, -32.988342 ] } }"
75021,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,AMEGHINO FLORENTINO,350,,0,5440397.5,6350270.57,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.637694, -32.988878 ] } }"
75047,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,BUENOS AIRES,3751,,0,5440066.12,6351052.72,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.641188, -32.981808 ] } }"
75017,Contenedor en vía pública,Metálico Verde Trasera,Contenedor en vía pública - Metálico Verde Trasera,Lime,ALEM LEANDRO N,3621,,0,5440509.95,6351125.91,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.636435, -32.981172 ] } }"
